查询关键字,数据年份,发表日期,全部单位名称,作者名称,论文名称,来源期刊,刊次,分类号,页码,链接
听障青少年社会支持与主观幸福感的关系：有调节的中介作用,2023,2023.12.29,山东师范大学心理学院,吴彤;陈晓旭;徐夫真,听障青少年社会支持与主观幸福感的关系：有调节的中介作用,中国特殊教育 ,No.11,G762,[43-50],https://kns.cnki.net/kcms2/article/abstract?v=bJ89lKU86K-F-6v9myUnLhJy2V4vQEjPmPpcAKy_a_Ob36lkofMnZ7PYMM9_AAIkUoB-fgRkLe3f722e0DduNfo1Xo8LRV3OToPh_wOJW349XyRzLxZa-oEuu98S90dA-qI_SWglRFqWdp7hFWSNl2JFLmQyUhrq3hCmdM6nl4G0rXqPu_sBKQ==&uniplatform=NZKPT&language=CHS
拒绝新冠病毒防控措施的行为定性,2020,2020.04.29,杭州师范大学沈钧儒法学院,邓毅丞,拒绝新冠病毒防控措施的行为定性,法律适用 ,No.06,D922.16;D924.31,[101-109],https://kns.cnki.net/kcms2/article/abstract?v=bJ89lKU86K8CwdvOva2UN-K0sC2XPgcq4ifizUF1xnZzv48Fr4a9uJ3lJ6EKGgb4xLoemzsFzQ6W1mK1tQxETiMfwzBRvMUIa3bHOtFEkXwREzpamL6Mf5958iyRIGq-chbqOnWoSz6Yh4hNEzVfn3H8h5AINRksH76LgvvdLLU5QFCy-c3xhQ==&uniplatform=NZKPT&language=CHS
哀敬折狱与古代中国案件审理的传统,2020,2020.02.20,杭州师范大学沈钧儒法学院,蒋铁初,哀敬折狱与古代中国案件审理的传统,法律适用 ,No.02,D929,[106-117],https://kns.cnki.net/kcms2/article/abstract?v=bJ89lKU86K-tjL0baQYmPkcyPgFI-z9V8snUUlCQxKXsh1Cyf4tsYvsoZecOVumxgwn0kNSnnKTyuK8O1jYAbJq0z71vn63mUJz_8mTO823nf329i1WCF8fBLCYjd65ogcwoq3WJWVBPQmV9dzqd2Xe5YK046-q3N945cC7ae_3cmKikLhgUbw==&uniplatform=NZKPT&language=CHS
我国加入《海牙协定》对外观设计保护的影响,2022,2022.04.24,1.中南财经政法大学知识产权研究中心;2.杭州师范大学沈钧儒法学院,曹新明;杨绪东,我国加入《海牙协定》对外观设计保护的影响,知识产权 ,No.03,D923.42;D997.1,[33-49],https://kns.cnki.net/kcms2/article/abstract?v=bJ89lKU86K9NNaQET0sEoMOjXQ1hfM2ncH6T7R5s55naD_vC3cseL4CvkS6N71B7MARzO51UVjZ4yIXob8Zfwk_BGDjSSN4g3K9_KaoU5cQHyUlA2s9CEJ14srQv0OTjpkwfq8JLpAWL3SSRElckQ3_N973qAD_XO6ZuRrw53l_uLbbhV7lHZg==&uniplatform=NZKPT&language=CHS
周秦政治传播的媒介转向与国家治理形态演进：从“铸刑书”说起,2025,2024.12.26,杭州师范大学法学院,徐燕斌,周秦政治传播的媒介转向与国家治理形态演进：从“铸刑书”说起,山东师范大学学报(社会科学版) ,No.02,G206;D929;D691,[96-105],https://kns.cnki.net/kcms2/article/abstract?v=bJ89lKU86K8Yeqj_Q-ef-nF3LgrlhnYapebUEuVP6BgoWbAuj8dhnlfsmdq8WZ5t_psB0FP3MHWWg_IRy0mN9CRpXrmBPohQcD6QEdp9AnRXdu7RDkPP8_64gBBuHQjWGhdyEGAFItW1coEjoRb2qYtq6nzFTAdTj5NdJWEXW5jJ9ssybVve3Q==&uniplatform=NZKPT&language=CHS
习近平文化思想的体系化学理化发展,2025,2025.09.10,1.中国社会科学院大学马克思主义学院;2.中国社会科学院当代中国研究所,刘仓,习近平文化思想的形成脉络及其体系化学理化进程,教学与研究 ,No.08,G120;D61,[5-17],https://kns.cnki.net/kcms2/article/abstract?v=bJ89lKU86K-esTi8H1NJJS_5jscHi_eVS5xZNcZfCnVIq0P_8NGWtMrmUF1LyeBbzeIN8Br67N2X0JTM9Na09U98w34mXPxCLaLNinWxyBkm7-Xed5L0-g9PwbMW9SxY3j1jxlBhXOLJ7kubAHKlt5H2GfbEE277rptu2jArbSm8PRl9zsQzbg==&uniplatform=NZKPT&language=CHS
不断提升国家文化软实力 增强中华文化影响力,2025,2025.07.22,1.中国社会科学院大学;2.中国社会科学院马克思主义研究院,潘西华,不断提升国家文化软实力和中华文化影响力,中国发展观察 ,No.05,D61;G122,[54-58],https://kns.cnki.net/kcms2/article/abstract?v=bJ89lKU86K-T7B5NtDCBWCI3y-qqQFtqVzZGwWdDi-DNNqelSFQqcr8w7UMkEC8EeRSV-fK-7OZQHsulPapDbPYPmu4q96zgPG9-bjFQsN-cB57SntVloRhpHlyDUksaq43xHGPNktbTYBCFm1MxyZb5VZ9PcxMbZStNgifwr95JSO5Qam7XzQ==&uniplatform=NZKPT&language=CHS
国家文化与国民文化的内涵、结构及其相互作用机理,2021,2021.11.11,中南民族大学马克思主义学院,余冬林;傅才武,国家文化与国民文化的内涵、结构及其相互作用机理,中南民族大学学报(人文社会科学版) ,No.11,G112,[160-169],https://kns.cnki.net/kcms2/article/abstract?v=bJ89lKU86K_UKcn6KorLDCEIfVIXiGGUnCWJpvQI7Vvsw3T5wCpgmHIdFdjH2CJdiU4V2JxYvDzUnwIL1qS_ESeSD-dih2OcihJjhxerjVl-IdKLfVOL3yK2Bi3LMsrV7zzaAAVwta1EsKFPiB6Iui90gojUHzFUO78iwFagcml1he6YtcRxOw==&uniplatform=NZKPT&language=CHS
全面推进乡村振兴，筑牢民族复兴基础,未知,未披露,,李建礼,新时代党建引领乡村治理研究,未知,未知,D267.2;D422.6;A81,[未披露],https://kns.cnki.net/kcms2/article/abstract?v=bJ89lKU86K8o0506Manf7UL11cD-fREeDxidpfqGf-E8j5rYzoxZ2BNBApqSqygu8G6QwwNQhK4h7QG9wa4SnfP_hNJRtxjiCx7pEWhD5MtmZ_PzOjN7WOFhertNJ3kD_0YREvqpr7STGJG-TjRPX7drmrTYv_kNlRdIBgn2ii77E4ztrk7brRDdJOi7IL-Y&uniplatform=NZKPT&language=CHS
党的妇女工作的百年回顾：基本经验与历史启示,2023,2023.08.01,华中科技大学马克思主义学院,尹旦萍,党的妇女工作的百年回顾、基本经验与启示,中南民族大学学报(人文社会科学版) ,No.07,D442.6,[17-23+181-182],https://kns.cnki.net/kcms2/article/abstract?v=bJ89lKU86K8Iz6h2mBOVmThLVar2gxucx9lSfuw9CgfMB1m4mEBsPtC0j5Ze9xqa8canNpT91-NZGYr3WSwBkFSbufUK2g2e-MeVQMAj2QRlpKFpj0ma3xG9W0S3TVdoyarxhXgoFwZZGJcc4GjSqWEHe-1MvCXRMuKqdQXlnUjlFyPlUgTu8w==&uniplatform=NZKPT&language=CHS
